CountryName,Alias
Afghanistan,
Akrotiri,
Aland,Aland Islands
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antarctica,
Antigua and Barb.,Antigua and Barbuda
Argentina,
Armenia,
Aruba,
Ashmore and Cartier Is.,Ashmore and Cartier Island
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Baikonur,
Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bermuda,
Bhutan,
Bolivia,
Bosnia and Herz.,Bosnia and Herzegovina
Botswana,
Br. Indian Ocean Ter.,British Indian Ocean Territory
Brazil,
British Virgin Is.,British Virgin Islands
Brunei,Brunei Darussalam
Bulgaria,
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Is.,Cayman Islands
Central African Rep.,Central African Republic
Chad,
Chile,
China,
Clipperton I.,
Colombia,
Comoros,
Congo,Republic of Congo
Cook Is.,Cook Islands
Coral Sea Is.,
Costa Rica,
Croatia,
Cuba,
Curaçao,
Cyprus,
Cyprus U.N. Buffer Zone,
Czech Rep.,Czech Republic
Côte d'Ivoire,Cote d'Ivoire
Dem. Rep. Congo,Democratic Republic of the Congo
Dem. Rep. Korea,North Korea
Denmark,
Dhekelia,
Djibouti,
Dominica,
Dominican Rep.,Dominican Republic
Ecuador,
Egypt,
El Salvador,
Eq. Guinea,Equatorial Guinea
Eritrea,
Estonia,
Ethiopia,
Faeroe Is.,Faroe Islands
Falkland Is.,Falkland Islands
Fiji,
Finland,
Fr. Polynesia,French Polynesia
Fr. S. Antarctic Lands,
France,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Gibraltar,
Greece,
Greenland,
Grenada,
Guam,
Guatemala,
Guernsey,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard I. and McDonald Is.,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indian Ocean Ter.,
Indonesia,
Iran,
Iraq,
Ireland,
Isle of Man,
Israel,
Italy,
Jamaica,
Japan,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Korea,South Korea
Kosovo,
Kuwait,
Kyrgyzstan,
Lao PDR,Laos
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macao,Macau
Macedonia,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Is.,Marshall Islands
Mauritania,
Mauritius,
Mexico,
Micronesia,
Moldova,
Monaco,
Mongolia,
Montenegro,
Montserrat,
Morocco,
Mozambique,
Myanmar,
N. Cyprus,Northern Cyprus
N. Mariana Is.,Northern Mariana Islands
Namibia,
Nauru,
Nepal,
Netherlands,
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
Norfolk Island,
Norway,
Oman,
Pakistan,
Palau,
Palestine,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Pitcairn Is.,Pitcairn Islands
Poland,
Portugal,
Puerto Rico,
Qatar,
Romania,
Russia,
Rwanda,
S. Geo. and S. Sandw. Is.,
S. Sudan,South Sudan
Saint Helena,
Saint Lucia,
Samoa,
San Marino,
Saudi Arabia,
Scarborough Reef,
Senegal,
Serbia,
Serranilla Bank,
Seychelles,
Siachen Glacier,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,
Slovenia,
Solomon Is.,Solomon Islands
Somalia,
Somaliland,
South Africa,
Spain,
Spratly Is.,
Sri Lanka,
St-Barthélemy,Saint Barthelemy
St-Martin,Saint Martin
St. Kitts and Nevis,Saint Kitts and Nevis
St. Pierre and Miquelon,Saint Pierre and Miquelon
St. Vin. and Gren.,Saint Vincent and the Grenadines
Sudan,
Suriname,
Swaziland,
Sweden,
Switzerland,
Syria,
São Tomé and Principe,Sao Tome and Principe
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Is.,Turks and Caicos Islands
Tuvalu,
U.S. Minor Outlying Is.,
U.S. Virgin Is.,US Virgin Islands
USNB Guantanamo Bay,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States,
Uruguay,
Uzbekistan,
Vanuatu,
Vatican,Vatican City
Venezuela,
Vietnam,
W. Sahara,Western Sahara
Wallis and Futuna Is.,Wallis and Futuna
Yemen,
Zambia,
Zimbabwe,
